,Ohio,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-03,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-04,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-05,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-06,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-07,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-08,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-09,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-10,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-11,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-12,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-13,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-14,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-15,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-16,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-17,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-18,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-19,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-20,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-21,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-22,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-02-23,0.0,6.516310214996338,0.0,32.95163345336914
2020-02-24,0.0,8.997965812683105,0.0,38.45964431762695
2020-02-25,0.0,9.803079605102539,0.0,45.16726303100586
2020-02-26,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-02-27,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-02-28,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-02-29,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-03-01,0.0,6.516310214996338,0.0,32.95163345336914
2020-03-02,0.0,8.997965812683105,0.0,38.45964431762695
2020-03-03,0.0,9.803079605102539,0.0,45.16726303100586
2020-03-04,0.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-03-05,0.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-03-06,0.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-03-07,0.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-03-08,0.0,6.516310214996338,0.0,32.95163345336914
2020-03-09,0.0,8.997965812683105,0.0,38.45964431762695
2020-03-10,3.0,9.803079605102539,0.0,45.16726303100586
2020-03-11,1.0,29.534074783325195,8.555620193481445,53.854469299316406
2020-03-12,1.0,28.596086502075195,2.959096908569336,54.86298370361328
2020-03-13,7.0,43.14475631713867,22.220243453979492,57.895668029785156
2020-03-14,14.0,45.282135009765625,16.103164672851562,68.9834213256836
2020-03-15,4.0,7.655239105224609,0.0,33.763126373291016
2020-03-16,20.0,10.021220207214355,0.0,39.21177291870117
2020-03-17,17.0,10.807782173156738,0.0,45.90517044067383
2020-03-18,22.0,30.283164978027344,9.513997077941895,54.397823333740234
2020-03-19,30.0,29.43208122253418,4.007626533508301,55.47499465942383
2020-03-20,54.0,43.9690055847168,23.272811889648438,58.50786209106445
2020-03-21,74.0,46.22676467895508,17.244901657104492,69.78071594238281
2020-03-22,109.0,24.940292358398438,7.953739643096924,47.82838821411133
2020-03-23,87.0,26.60308837890625,5.438603401184082,52.90353775024414
2020-03-24,124.0,28.4724063873291,0.0,59.6286506652832
2020-03-25,137.0,44.93780517578125,27.609804153442383,66.25485229492188
2020-03-26,164.0,44.9852409362793,23.104604721069336,68.05499267578125
2020-03-27,269.0,58.9145622253418,42.18410110473633,70.51982879638672
2020-03-28,269.0,62.14638137817383,36.43717575073242,83.77313232421875
2020-03-29,247.0,128.4579620361328,119.58080291748047,137.21554565429688
2020-03-30,280.0,127.41484832763672,119.6802749633789,140.58468627929688
2020-03-31,266.0,135.06861877441406,125.97352600097656,147.28567504882812
2020-04-01,348.0,138.05462646484375,129.931640625,145.04171752929688
2020-04-02,354.0,141.96083068847656,137.37649536132812,150.25379943847656
2020-04-03,411.0,152.5577850341797,149.46243286132812,156.37051391601562
2020-04-04,427.0,159.3638916015625,148.63677978515625,173.00497436523438
2020-04-05,304.0,317.5992736816406,301.59735107421875,325.7758483886719
2020-04-06,410.0,317.1922912597656,301.2095642089844,328.7850036621094
2020-04-07,329.0,332.2795104980469,314.0616760253906,347.1724853515625
2020-04-08,366.0,330.1034240722656,312.2322692871094,348.5453796386719
2020-04-09,364.0,334.3614196777344,321.8594665527344,345.940673828125
2020-04-10,366.0,342.1908874511719,330.53680419921875,364.5614318847656
2020-04-11,372.0,350.0525207519531,336.937744140625,365.3874206542969
2020-04-12,354.0,382.9407043457031,359.59173583984375,420.34686279296875
2020-04-13,371.0,390.4319763183594,365.01934814453125,426.7461242675781
2020-04-14,310.0,414.7386169433594,392.2084655761719,436.27862548828125
2020-04-15,509.0,428.6230773925781,403.1672058105469,444.01873779296875
2020-04-16,620.0,428.2859802246094,408.3091125488281,445.25421142578125
2020-04-17,693.0,435.0223083496094,417.4342956542969,449.9059143066406
2020-04-18,1115.0,435.3479919433594,415.9806213378906,466.6747741699219
2020-04-19,1380.0,432.6052551269531,408.1566467285156,447.8341979980469
2020-04-20,1317.0,430.1330871582031,405.0326843261719,444.45672607421875
2020-04-21,806.0,444.1418151855469,420.55596923828125,460.9491271972656
2020-04-22,392.0,440.8444519042969,415.71295166015625,460.8616943359375
2020-04-23,577.0,444.07421875,425.14776611328125,457.8125305175781
2020-04-24,475.0,455.5828857421875,438.64483642578125,481.5798645019531
2020-04-25,418.0,469.1943664550781,448.5039367675781,486.9904479980469
2020-04-26,385.0,647.9164428710938,422.1182556152344,904.7484741210938
2020-04-27,353.0,669.6361694335938,487.46221923828125,897.4105834960938
2020-04-28,444.0,752.60986328125,629.8222045898438,910.528076171875
2020-04-29,534.0,870.82373046875,800.500732421875,986.6678466796875
2020-04-30,724.0,841.5939331054688,734.8551635742188,976.0836791992188
2020-05-01,716.0,884.23974609375,797.8786010742188,994.8152465820312
2020-05-02,592.0,822.971435546875,689.5756225585938,990.8135375976562
2020-05-03,579.0,488.6177673339844,455.2394104003906,507.4293212890625
2020-05-04,560.0,487.1008605957031,452.33685302734375,511.32391357421875
2020-05-05,495.0,502.7929382324219,474.2112121582031,519.33056640625
2020-05-06,607.0,505.5574645996094,473.3779296875,521.7064819335938
2020-05-07,555.0,507.6144104003906,481.3849792480469,521.652587890625
2020-05-08,885.0,521.4916381835938,497.6390075683594,547.20166015625
2020-05-09,681.0,535.4331665039062,507.7959899902344,558.6264038085938
2020-05-10,384.0,592.1392211914062,545.9448852539062,647.2013549804688
2020-05-11,696.0,594.1642456054688,544.28564453125,650.8734741210938
2020-05-12,473.0,616.3056640625,579.2416381835938,659.7205810546875
2020-05-13,471.0,639.4202270507812,596.1272583007812,680.935302734375
2020-05-14,636.0,636.1394653320312,600.0676879882812,674.9995727539062
2020-05-15,597.0,657.5728149414062,624.84423828125,678.3825073242188
2020-05-16,520.0,665.7749633789062,626.7478637695312,710.5145263671875
2020-05-17,449.0,532.4815063476562,490.0905456542969,616.6993408203125
2020-05-18,531.0,543.7554321289062,496.81201171875,623.376953125
2020-05-19,498.0,578.1917114257812,544.0850830078125,635.9866943359375
2020-05-20,484.0,616.8511352539062,575.2921752929688,667.1268920898438
2020-05-21,731.0,609.77392578125,575.1759033203125,660.3430786132812
2020-05-22,627.0,626.0114135742188,594.7890014648438,658.177734375
2020-05-23,614.0,620.1248168945312,584.9542236328125,680.032958984375
2020-05-24,503.0,515.615234375,479.8952941894531,570.9957885742188
2020-05-25,566.0,521.8511352539062,482.52545166015625,576.1781005859375
2020-05-26,529.0,547.2947387695312,516.7568359375,586.0340576171875
2020-05-27,433.0,571.5394897460938,534.8019409179688,603.44287109375
2020-05-28,476.0,568.8427734375,539.0062866210938,600.14404296875
2020-05-29,651.0,582.9258422851562,555.900390625,597.760009765625
2020-05-30,467.0,583.3224487304688,553.1923828125,627.8721923828125
2020-05-31,480.0,514.1155395507812,471.27728271484375,596.0612182617188
2020-06-01,471.0,526.4607543945312,482.1850280761719,603.3236694335938
2020-06-02,366.0,560.9222412109375,528.3602294921875,616.2573852539062
2020-06-03,442.0,599.4260864257812,559.072509765625,645.7771606445312
2020-06-04,490.0,592.9528198242188,559.5057983398438,639.602294921875
2020-06-05,476.0,607.1345825195312,576.8564453125,635.9033813476562
2020-06-06,353.0,599.527099609375,566.5464477539062,657.8909912109375
2020-06-07,365.0,458.1087646484375,425.00860595703125,516.0101928710938
2020-06-08,361.0,468.0022888183594,431.4256286621094,523.54638671875
2020-06-09,325.0,497.0469665527344,468.93255615234375,534.87548828125
2020-06-10,413.0,520.6947631835938,487.5450744628906,553.4547729492188
2020-06-11,429.0,516.733154296875,489.44512939453125,550.3905639648438
2020-06-12,420.0,527.221435546875,503.05859375,544.3737182617188
2020-06-13,427.0,527.2332153320312,499.7482604980469,570.4569702148438
2020-06-14,297.0,403.3012390136719,374.19866943359375,438.5179748535156
2020-06-15,428.0,409.9023132324219,378.6690979003906,446.0535888671875
2020-06-16,434.0,433.9353332519531,408.5194091796875,456.9087829589844
2020-06-17,412.0,445.4126892089844,416.5357666015625,466.30999755859375
2020-06-18,700.0,444.8492431640625,420.77783203125,465.7033996582031
2020-06-19,609.0,453.3207092285156,432.0546569824219,469.42742919921875
2020-06-20,530.0,459.054931640625,435.4284362792969,487.96649169921875
2020-06-21,547.0,430.2042236328125,405.4544677734375,461.1995544433594
2020-06-22,729.0,433.9128112792969,407.2507629394531,465.5941162109375
2020-06-23,590.0,454.5167236328125,430.6649475097656,473.8068542480469
2020-06-24,632.0,465.5458068847656,438.191650390625,480.39447021484375
2020-06-25,892.0,466.6064147949219,445.5711669921875,479.7127685546875
2020-06-26,987.0,475.6695251464844,456.67144775390625,495.7875061035156
2020-06-27,817.0,478.3511657714844,457.45947265625,508.4606018066406
2020-06-28,854.0,630.2623291015625,594.0164794921875,679.4125366210938
2020-06-29,737.0,627.4984741210938,587.5924682617188,677.8920288085938
2020-06-30,743.0,643.225830078125,610.4151000976562,681.5521850585938
2020-07-01,1076.0,666.0015258789062,626.2683715820312,693.627197265625
2020-07-02,1301.0,664.6441650390625,634.7733764648438,690.9813232421875
2020-07-03,1091.0,688.1183471679688,660.8153076171875,704.7347412109375
2020-07-04,926.0,691.25146484375,658.9841918945312,738.561767578125
2020-07-05,967.0,925.2763061523438,849.7274169921875,989.3421630859375
2020-07-06,806.0,895.09130859375,818.2971801757812,943.4117431640625
2020-07-07,948.0,880.40185546875,821.1546630859375,914.4558715820312
2020-07-08,1277.0,888.257080078125,824.906494140625,931.3005981445312
2020-07-09,1150.0,892.62841796875,839.9247436523438,922.3897094726562
2020-07-10,1525.0,951.4221801757812,902.3258056640625,990.00048828125
2020-07-11,1358.0,986.8303833007812,920.9633178710938,1024.4461669921875
2020-07-12,1378.0,1101.6260986328125,999.3154907226562,1211.4996337890625
2020-07-13,1261.0,1053.9312744140625,951.1153564453125,1138.415771484375
2020-07-14,1142.0,1021.5130004882812,941.809814453125,1067.882568359375
2020-07-15,1316.0,1029.2218017578125,945.6705322265625,1081.748291015625
2020-07-16,1290.0,1039.2620849609375,966.7841186523438,1082.15185546875
2020-07-17,1679.0,1125.1226806640625,1055.232666015625,1187.9893798828125
2020-07-18,1541.0,1171.9801025390625,1081.4766845703125,1246.0166015625
2020-07-19,,1230.1273193359375,1109.0015869140625,1302.7689208984375
2020-07-20,,1178.5826416015625,1051.325927734375,1267.142333984375
2020-07-21,,1162.96923828125,1062.836181640625,1244.159423828125
2020-07-22,,1215.662353515625,1114.00146484375,1312.2069091796875
2020-07-23,,1222.37939453125,1134.607666015625,1296.9888916015625
2020-07-24,,1344.3023681640625,1259.8128662109375,1392.521240234375
2020-07-25,,1370.4132080078125,1256.6961669921875,1428.5015869140625
