,Puerto Rico,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.03768816642935027,,
2020-01-26,0.0,0.06355239341950199,,
2020-01-27,0.0,0.09223095763332925,,
2020-01-28,0.0,0.1303951479559871,,
2020-01-29,0.0,0.16275330431931864,,
2020-01-30,0.0,0.22281499734316393,,
2020-01-31,0.0,0.3211381914852811,,
2020-02-01,0.0,0.4194613856273943,,
2020-02-02,0.0,0.5177845797695031,,
2020-02-03,0.0,0.6161077739116089,,
2020-02-04,0.0,0.7144309680537135,,
2020-02-05,0.0,0.8127541621958164,,
2020-02-06,0.0,0.9110773563379164,,
2020-02-07,0.0,1.009400550480015,,
2020-02-08,0.0,1.1077237446221113,,
2020-02-09,0.0,1.2060469387642072,,
2020-02-10,0.0,1.3043701329063013,,
2020-02-11,0.0,1.4026933270483932,,
2020-02-12,0.0,1.501016521190483,,
2020-02-13,0.0,1.5993397153325684,,
2020-02-14,0.0,1.697662909474649,,
2020-02-15,0.0,1.795986103616727,,
2020-02-16,0.0,1.8943092977588005,,
2020-02-17,0.0,1.9926324919008704,,
2020-02-18,0.0,2.0909556860429372,,
2020-02-19,0.0,2.1892788801849994,,
2020-02-20,0.0,2.287602074327061,,
2020-02-21,0.0,2.3859252684691232,,
2020-02-22,0.0,2.4842484626111894,,
2020-02-23,0.0,2.582571656753254,,
2020-02-24,0.0,2.6808948508953145,,
2020-02-25,0.0,2.7792180450373714,,
2020-02-26,0.0,2.877541239179424,,
2020-02-27,0.0,2.9758644333214734,,
2020-02-28,0.0,3.0741876274635174,,
2020-02-29,0.0,3.172510821605552,,
2020-03-01,0.0,3.2708340157475746,,
2020-03-02,0.0,3.3691572098895834,,
2020-03-03,0.0,3.4674804040315785,,
2020-03-04,0.0,3.5658035981735607,,
2020-03-05,0.0,3.6641267923155376,,
2020-03-06,0.0,3.7624499864575127,,
2020-03-07,0.0,3.8607731805994914,,
2020-03-08,0.0,3.959096374741479,,
2020-03-09,0.0,4.057419568883472,,
2020-03-10,0.0,4.155742763025466,,
2020-03-11,0.0,4.25406595716746,,
2020-03-12,0.0,4.352389151309455,,
2020-03-13,0.0,4.450712345451446,,
2020-03-14,0.0,4.549035539593432,,
2020-03-15,0.0,4.647358733735412,,
2020-03-16,5.0,9.745681927877378,,
2020-03-17,0.0,-4.957731014097325,,
2020-03-18,0.0,10.506585216695225,,
2020-03-19,0.0,5.3465053165604814,,
2020-03-20,9.0,14.965266120501528,,
2020-03-21,7.0,-4.739174860198592,,
2020-03-22,2.0,5.344977569394565,,
2020-03-23,8.0,19.021705351771423,,
2020-03-24,8.0,1.943473522158107,,
2020-03-25,12.0,13.289514083387575,,
2020-03-26,13.0,8.921529077018148,,
2020-03-27,15.0,15.245747841658172,,
2020-03-28,21.0,17.337571916027585,,
2020-03-29,27.0,15.451328110873085,,
2020-03-30,47.0,32.64551275763839,,
2020-03-31,65.0,20.266828950019544,,
2020-04-01,47.0,-7.983808299835772,,
2020-04-02,30.0,34.25111796533142,,
2020-04-03,0.0,25.396587659526524,,
2020-04-04,136.0,209.65613659209126,,
2020-04-05,23.0,-197.0252361946409,,
2020-04-06,38.0,194.98454164477516,,
2020-04-07,60.0,61.05850233115412,,
2020-04-08,47.0,22.80731906633614,,
2020-04-09,63.0,75.06834182691937,,
2020-04-10,42.0,36.79776799221799,,
2020-04-11,63.0,114.99191754581153,,
2020-04-12,109.0,76.46816018308252,,
2020-04-13,6.0,-82.91873501186308,,
2020-04-14,20.0,185.3495561505416,,
2020-04-15,51.0,80.50815519791571,,
2020-04-16,69.0,54.04254513002619,,
2020-04-17,25.0,1.5808990762832238,,
2020-04-18,50.0,144.3919286303622,,
2020-04-19,95.0,74.7879061757717,,
2020-04-20,39.0,-57.26195833331691,,
2020-04-21,46.0,120.51805615506323,,
2020-04-22,-46.0,-32.85346940017752,,
2020-04-23,164.0,362.6321828529633,,
2020-04-24,-140.0,-460.94197652603515,,
2020-04-25,31.0,551.0437163569339,,
2020-04-26,64.0,-99.32016238239254,,
2020-04-27,18.0,-27.406877088707283,,
2020-04-28,11.0,51.18579765621367,,
2020-04-29,33.0,75.81358485596516,,
2020-04-30,106.0,68.19856335430566,,
2020-05-01,36.0,-138.00871962841828,,
2020-05-02,182.0,272.58976403639605,,
2020-05-03,51.0,-224.8342782357592,,
2020-05-04,35.0,175.77867556853892,,
2020-05-05,81.0,120.9263961332654,,
2020-05-06,44.0,12.991576143572466,,
2020-05-07,63.0,146.5013176430112,,
2020-05-08,125.0,146.7438312626066,,
2020-05-09,17.0,-69.58101462583713,,
2020-05-10,25.0,184.28803524041558,,
2020-05-11,58.0,95.93864774605628,,
2020-05-12,43.0,29.5528230456663,,
2020-05-13,30.0,71.82310403887156,,
2020-05-14,98.0,163.77595872995946,,
2020-05-15,115.0,15.518340124402243,,
2020-05-16,47.0,-32.62463075529358,,
2020-05-17,57.0,143.02697489651223,,
2020-05-18,64.0,67.96954988029015,,
2020-05-19,95.0,96.17306075624882,,
2020-05-20,61.0,21.13701509481959,,
2020-05-21,47.0,123.51619962269932,,
2020-05-22,117.0,168.4325350249374,,
2020-05-23,70.0,-40.67793206936729,,
2020-05-24,89.0,150.93749053588468,,
2020-05-25,71.0,53.06501801983014,,
2020-05-26,64.0,104.97521533878445,,
2020-05-27,73.0,97.82645104631146,,
2020-05-28,89.0,105.09898243101061,,
2020-05-29,161.0,155.28766933496888,,
2020-05-30,71.0,-66.65172181825193,,
2020-05-31,58.0,176.89461879356293,,
2020-06-01,97.0,143.16533196311485,,
2020-06-02,62.0,27.09723377968472,,
2020-06-03,88.0,167.35875675227936,,
2020-06-04,485.0,491.44359824464084,,
2020-06-05,112.0,-647.3846602795206,,
2020-06-06,295.0,683.7288191920197,,
2020-06-07,70.0,-283.03175037604063,,
2020-06-08,61.0,396.8712630201777,,
2020-06-09,139.0,247.88173725841875,,
2020-06-10,144.0,200.414688092203,,
2020-06-11,23.0,109.90910330954875,,
2020-06-12,184.0,463.2578592164163,,
2020-06-13,154.0,-40.00798846305045,,
2020-06-14,121.0,111.733661620306,,
2020-06-15,79.0,116.41718430694982,,
2020-06-16,61.0,173.2262807398456,,
2020-06-17,52.0,127.72456361302343,,
2020-06-18,108.0,197.13586211527183,,
2020-06-19,84.0,69.01290544675174,,
2020-06-20,268.0,335.07285877595103,,
2020-06-21,62.0,-283.5638373611325,,
2020-06-22,39.0,292.75332890969025,,
2020-06-23,121.0,198.9274311974924,,
2020-06-24,135.0,57.99427930754133,,
2020-06-25,57.0,38.15188293664622,,
2020-06-26,45.0,227.04469890006033,,
2020-06-27,144.0,247.62847001090984,,
2020-06-28,123.0,-29.801311351072343,,
2020-06-29,61.0,70.30640223553341,,
2020-06-30,215.0,340.99422820278744,,
2020-07-01,72.0,-184.79402384323623,,
2020-07-02,71.0,249.69961599671285,,
2020-07-03,75.0,124.87619094759434,,
2020-07-04,104.0,170.02230179365216,,
2020-07-05,129.0,113.59769004140023,,
2020-07-06,669.0,655.9475490601016,,
2020-07-07,129.0,-933.392672235103,,
2020-07-08,31.0,600.5948158936355,,
2020-07-09,117.0,321.85365414121,,
2020-07-10,275.0,273.10533918824854,,
2020-07-11,229.0,5.7451224497557405,,
2020-07-12,288.0,440.0153677372929,,
2020-07-13,356.0,292.88996526889446,,
2020-07-14,113.0,-147.69841499668894,,
2020-07-15,256.0,572.0734620043617,,
2020-07-16,195.0,42.49432692700367,,
2020-07-17,546.0,698.9206921551306,,
2020-07-18,333.0,-286.8504138847147,,
2020-07-19,,331.5453037765765,194.38517760791635,468.7054299452366
2020-07-20,,269.56332667209216,132.37861607593172,406.7480372682526
2020-07-21,,295.1034992080423,157.32325313332368,432.88374528276097
2020-07-22,,314.4038450557151,176.4726870804144,452.33500303101584
2020-07-23,,392.51161398698827,252.86341915319153,532.159808820785
2020-07-24,,398.2385809762168,257.32940845817615,539.1477534942574
2020-07-25,,352.26112446447036,202.32717407240864,502.1950748565321
